AFC Bournemouth v Manchester United, 1, 9 (3), 3, 11 (7)
West Ham United v AFC Bournemouth, 1, 16 (2), 0, 8 (5)
Crystal Palace v AFC Bournemouth, 1, 24 (5), 1, 10 (3)
AFC Bournemouth v West Bromwich Albion, 1, 12 (5), 0, 12 (2)
Manchester City v AFC Bournemouth, 4, 20 (11), 0, 6 (2)
AFC Bournemouth v Everton, 1, 12 (1), 0, 13 (2)
Watford v AFC Bournemouth, 2, 17 (7), 2, 11 (2)
AFC Bournemouth v Hull City, 6, 22 (10), 1, 11 (4)
AFC Bournemouth v Tottenham Hotspur, 0, 8 (1), 0, 16 (4)
Middlesbrough v AFC Bournemouth, 2, 11 (3), 0, 18 (3)
AFC Bournemouth v Sunderland, 1, 22 (7), 2, 9 (4)
Stoke City v AFC Bournemouth, 0, 14 (6), 1, 8 (2)
Arsenal v AFC Bournemouth, 3, 16 (3), 1, 9 (3)
AFC Bournemouth v Liverpool, 4, 12 (8), 3, 10 (3)
Burnley v AFC Bournemouth, 3, 15 (7), 2, 18 (4)
AFC Bournemouth v Leicester City, 1, 9 (3), 0, 12 (4)
AFC Bournemouth v Southampton, 1, 10 (5), 3, 14 (8)
Chelsea v AFC Bournemouth, 3, 14 (4), 0, 7 (3)
Swansea City v AFC Bournemouth, 0, 14 (5), 3, 11 (6)
AFC Bournemouth v Arsenal, 3, 13 (6), 3, 14 (4)
Hull City v AFC Bournemouth, 3, 12 (2), 1, 8 (6)
AFC Bournemouth v Watford, 2, 15 (5), 2, 10 (3)
AFC Bournemouth v Crystal Palace, 0, 10 (2), 2, 11 (4)
Everton v AFC Bournemouth, 6, 15 (10), 3, 18 (8)
AFC Bournemouth v Manchester City, 0, 5 (1), 2, 17 (5)
West Bromwich Albion v AFC Bournemouth, 2, 13 (4), 1, 12 (4)
Manchester United v AFC Bournemouth, 1, 20 (7), 1, 3 (1)
AFC Bournemouth v West Ham United, 3, 22 (9), 2, 16 (7)
AFC Bournemouth v Swansea City, 2, 12 (6), 0, 10 (1)
Southampton v AFC Bournemouth, 0, 14 (4), 0, 12 (3)
Liverpool v AFC Bournemouth, 2, 20 (8), 2, 8 (2)
AFC Bournemouth v Chelsea, 1, 11 (1), 3, 15 (5)
Tottenham Hotspur v AFC Bournemouth, 4, 24 (14), 0, 5 (1)
AFC Bournemouth v Middlesbrough, 4, 21 (10), 0, 5 (2)
Sunderland v AFC Bournemouth, 0, 17 (5), 1, 15 (7)
AFC Bournemouth v Stoke City, 2, 12 (2), 2, 14 (3)
AFC Bournemouth v Burnley, 2, 18 (6), 1, 14 (3)
Leicester City v AFC Bournemouth, 1, 20 (4), 1, 10 (4)
