Arsenal v Liverpool, 3, 9 (5), 4, 16 (7)
Leicester City v Arsenal, 0, 8 (1), 0, 13 (4)
Watford v Arsenal, 1, 14 (6), 3, 10 (7)
Arsenal v Southampton, 2, 17 (2), 1, 11 (5)
Hull City v Arsenal, 1, 6 (2), 4, 24 (9)
Arsenal v Chelsea, 3, 14 (5), 0, 9 (2)
Burnley v Arsenal, 0, 10 (1), 1, 18 (3)
Arsenal v Swansea City, 3, 16 (6), 2, 13 (6)
Arsenal v Middlesbrough, 0, 10 (6), 0, 11 (4)
Sunderland v Arsenal, 1, 3 (1), 4, 21 (7)
Arsenal v Tottenham Hotspur, 1, 15 (2), 1, 10 (3)
Manchester United v Arsenal, 1, 12 (5), 1, 5 (1)
Arsenal v AFC Bournemouth, 3, 16 (3), 1, 9 (3)
West Ham United v Arsenal, 1, 10 (3), 5, 19 (10)
Arsenal v Stoke City, 3, 21 (6), 1, 12 (5)
Everton v Arsenal, 2, 14 (4), 1, 9 (3)
Manchester City v Arsenal, 2, 14 (5), 1, 6 (1)
Arsenal v West Bromwich Albion, 1, 26 (11), 0, 3 (1)
Arsenal v Crystal Palace, 2, 22 (7), 0, 7 (4)
AFC Bournemouth v Arsenal, 3, 13 (6), 3, 14 (4)
Swansea City v Arsenal, 0, 12 (3), 4, 14 (6)
Arsenal v Burnley, 2, 24 (8), 1, 13 (7)
Arsenal v Watford, 1, 20 (5), 2, 10 (6)
Chelsea v Arsenal, 3, 13 (6), 1, 9 (5)
Arsenal v Hull City, 2, 17 (7), 0, 9 (4)
Liverpool v Arsenal, 3, 18 (7), 1, 7 (3)
West Bromwich Albion v Arsenal, 3, 12 (8), 1, 11 (2)
Arsenal v Manchester City, 2, 8 (3), 2, 14 (5)
Arsenal v West Ham United, 3, 21 (8), 0, 7 (2)
Crystal Palace v Arsenal, 3, 17 (6), 0, 11 (3)
Middlesbrough v Arsenal, 1, 13 (5), 2, 12 (4)
Arsenal v Leicester City, 1, 12 (5), 0, 7 (3)
Tottenham Hotspur v Arsenal, 2, 20 (11), 0, 12 (4)
Arsenal v Manchester United, 2, 9 (4), 0, 10 (4)
Southampton v Arsenal, 0, 14 (3), 2, 11 (4)
Stoke City v Arsenal, 1, 10 (4), 4, 10 (6)
Arsenal v Sunderland, 2, 36 (13), 0, 6 (2)
Arsenal v Everton, 3, 17 (9), 1, 22 (7)
