Burnley v Swansea City, 0, 10 (3), 1, 17 (9)
Burnley v Liverpool, 2, 3 (2), 0, 26 (5)
Chelsea v Burnley, 3, 22 (10), 0, 6 (0)
Burnley v Hull City, 1, 13 (2), 1, 11 (3)
Leicester City v Burnley, 3, 14 (6), 0, 7 (2)
Burnley v Watford, 2, 13 (4), 0, 12 (2)
Burnley v Arsenal, 0, 10 (1), 1, 18 (3)
Southampton v Burnley, 3, 34 (14), 1, 6 (1)
Burnley v Everton, 2, 10 (3), 1, 21 (8)
Manchester United v Burnley, 0, 38 (11), 0, 7 (1)
Burnley v Crystal Palace, 3, 14 (7), 2, 16 (5)
West Bromwich Albion v Burnley, 4, 16 (6), 0, 5 (2)
Burnley v Manchester City, 1, 10 (5), 2, 21 (5)
Stoke City v Burnley, 2, 10 (4), 0, 14 (4)
Burnley v AFC Bournemouth, 3, 15 (7), 2, 18 (4)
West Ham United v Burnley, 1, 20 (7), 0, 8 (2)
Tottenham Hotspur v Burnley, 2, 30 (9), 1, 5 (2)
Burnley v Middlesbrough, 1, 6 (4), 0, 8 (2)
Burnley v Sunderland, 4, 16 (6), 1, 11 (3)
Manchester City v Burnley, 2, 14 (3), 1, 11 (3)
Burnley v Southampton, 1, 9 (3), 0, 20 (5)
Arsenal v Burnley, 2, 24 (8), 1, 13 (7)
Burnley v Leicester City, 1, 24 (3), 0, 13 (5)
Watford v Burnley, 2, 16 (7), 1, 11 (7)
Burnley v Chelsea, 1, 7 (4), 1, 13 (2)
Hull City v Burnley, 1, 15 (1), 1, 11 (3)
Swansea City v Burnley, 3, 24 (9), 2, 6 (4)
Liverpool v Burnley, 2, 10 (3), 1, 11 (1)
Sunderland v Burnley, 0, 14 (5), 0, 16 (3)
Burnley v Tottenham Hotspur, 0, 13 (2), 2, 19 (7)
Burnley v Stoke City, 1, 7 (3), 0, 15 (2)
Middlesbrough v Burnley, 0, 13 (5), 0, 7 (2)
Everton v Burnley, 3, 29 (7), 1, 13 (6)
Burnley v Manchester United, 0, 8 (0), 2, 12 (6)
Crystal Palace v Burnley, 0, 15 (5), 2, 9 (3)
Burnley v West Bromwich Albion, 2, 14 (4), 2, 11 (3)
AFC Bournemouth v Burnley, 2, 18 (6), 1, 14 (3)
Burnley v West Ham United, 1, 9 (1), 2, 14 (4)
