Chelsea v West Ham United, 2, 16 (6), 1, 7 (3)
Watford v Chelsea, 1, 6 (2), 2, 13 (4)
Chelsea v Burnley, 3, 22 (10), 0, 6 (0)
Swansea City v Chelsea, 2, 6 (2), 2, 28 (7)
Chelsea v Liverpool, 1, 12 (4), 2, 13 (5)
Arsenal v Chelsea, 3, 14 (5), 0, 9 (2)
Hull City v Chelsea, 0, 8 (2), 2, 22 (9)
Chelsea v Leicester City, 3, 16 (6), 0, 5 (0)
Chelsea v Manchester United, 4, 14 (6), 0, 16 (5)
Southampton v Chelsea, 0, 10 (1), 2, 13 (7)
Chelsea v Everton, 5, 21 (9), 0, 1 (0)
Middlesbrough v Chelsea, 0, 12 (1), 1, 13 (3)
Chelsea v Tottenham Hotspur, 2, 9 (5), 1, 12 (6)
Manchester City v Chelsea, 1, 14 (5), 3, 10 (4)
Chelsea v West Bromwich Albion, 1, 12 (2), 0, 6 (1)
Sunderland v Chelsea, 0, 8 (3), 1, 19 (6)
Crystal Palace v Chelsea, 0, 6 (2), 1, 13 (6)
Chelsea v AFC Bournemouth, 3, 14 (4), 0, 7 (3)
Chelsea v Stoke City, 4, 18 (7), 2, 5 (2)
Tottenham Hotspur v Chelsea, 2, 9 (2), 0, 11 (2)
Leicester City v Chelsea, 0, 7 (2), 3, 8 (3)
Chelsea v Hull City, 2, 9 (5), 0, 9 (4)
Liverpool v Chelsea, 1, 7 (3), 1, 8 (2)
Chelsea v Arsenal, 3, 13 (6), 1, 9 (5)
Burnley v Chelsea, 1, 7 (4), 1, 13 (2)
Chelsea v Swansea City, 3, 16 (5), 1, 3 (2)
West Ham United v Chelsea, 1, 11 (2), 2, 9 (4)
Stoke City v Chelsea, 1, 5 (1), 2, 20 (7)
Chelsea v Crystal Palace, 1, 24 (11), 2, 8 (3)
Chelsea v Manchester City, 2, 10 (4), 1, 17 (7)
AFC Bournemouth v Chelsea, 1, 11 (1), 3, 15 (5)
Manchester United v Chelsea, 2, 9 (3), 0, 5 (0)
Chelsea v Southampton, 4, 17 (7), 2, 12 (4)
Everton v Chelsea, 0, 12 (3), 3, 11 (5)
Chelsea v Middlesbrough, 3, 21 (7), 0, 2 (1)
West Bromwich Albion v Chelsea, 0, 7 (2), 1, 24 (5)
Chelsea v Watford, 4, 24 (9), 3, 9 (3)
Chelsea v Sunderland, 5, 28 (8), 1, 7 (3)
