Hull City v Leicester City, 2, 14 (5), 1, 18 (5)
Swansea City v Hull City, 0, 23 (3), 2, 12 (4)
Hull City v Manchester United, 0, 8 (2), 1, 29 (9)
Burnley v Hull City, 1, 13 (2), 1, 11 (3)
Hull City v Arsenal, 1, 6 (2), 4, 24 (9)
Liverpool v Hull City, 5, 32 (12), 1, 2 (1)
Hull City v Chelsea, 0, 8 (2), 2, 22 (9)
AFC Bournemouth v Hull City, 6, 22 (10), 1, 11 (4)
Hull City v Stoke City, 0, 9 (2), 2, 12 (6)
Watford v Hull City, 1, 23 (0), 0, 8 (2)
Hull City v Southampton, 2, 6 (2), 1, 19 (7)
Sunderland v Hull City, 3, 11 (4), 0, 17 (7)
Hull City v West Bromwich Albion, 1, 10 (4), 1, 11 (2)
Middlesbrough v Hull City, 1, 16 (4), 0, 6 (2)
Hull City v Crystal Palace, 3, 15 (6), 3, 15 (6)
Tottenham Hotspur v Hull City, 3, 27 (9), 0, 10 (5)
West Ham United v Hull City, 1, 19 (6), 0, 16 (5)
Hull City v Manchester City, 0, 10 (3), 3, 16 (6)
Hull City v Everton, 2, 13 (4), 2, 20 (7)
West Bromwich Albion v Hull City, 3, 8 (5), 1, 17 (6)
Hull City v AFC Bournemouth, 3, 12 (2), 1, 8 (6)
Chelsea v Hull City, 2, 9 (5), 0, 9 (4)
Manchester United v Hull City, 0, 16 (6), 0, 6 (2)
Hull City v Liverpool, 2, 7 (4), 0, 22 (5)
Arsenal v Hull City, 2, 17 (7), 0, 9 (4)
Hull City v Burnley, 1, 15 (1), 1, 11 (3)
Leicester City v Hull City, 3, 17 (5), 1, 10 (4)
Hull City v Swansea City, 2, 15 (7), 1, 11 (3)
Everton v Hull City, 4, 14 (8), 0, 6 (0)
Hull City v West Ham United, 2, 7 (3), 1, 12 (4)
Hull City v Middlesbrough, 4, 17 (5), 2, 12 (4)
Manchester City v Hull City, 3, 23 (7), 1, 7 (1)
Stoke City v Hull City, 3, 14 (4), 1, 14 (3)
Hull City v Watford, 2, 8 (3), 0, 14 (2)
Southampton v Hull City, 0, 11 (2), 0, 9 (1)
Hull City v Sunderland, 0, 16 (6), 2, 12 (5)
Crystal Palace v Hull City, 4, 12 (4), 0, 9 (0)
Hull City v Tottenham Hotspur, 1, 10 (4), 7, 19 (14)
