Manchester City v Sunderland, 2, 16 (4), 1, 7 (3)
Stoke City v Manchester City, 1, 8 (3), 4, 12 (6)
Manchester City v West Ham United, 3, 22 (5), 1, 9 (2)
Manchester United v Manchester City, 1, 14 (3), 2, 18 (6)
Manchester City v AFC Bournemouth, 4, 20 (11), 0, 6 (2)
Swansea City v Manchester City, 1, 13 (5), 3, 18 (4)
Tottenham Hotspur v Manchester City, 2, 13 (7), 0, 12 (6)
Manchester City v Everton, 1, 19 (8), 1, 3 (2)
Manchester City v Southampton, 1, 14 (3), 1, 6 (2)
West Bromwich Albion v Manchester City, 0, 9 (1), 4, 21 (8)
Manchester City v Middlesbrough, 1, 25 (7), 1, 5 (3)
Crystal Palace v Manchester City, 1, 8 (2), 2, 10 (4)
Burnley v Manchester City, 1, 10 (5), 2, 21 (5)
Manchester City v Chelsea, 1, 14 (5), 3, 10 (4)
Leicester City v Manchester City, 4, 11 (6), 2, 19 (4)
Manchester City v Watford, 2, 13 (7), 0, 5 (2)
Manchester City v Arsenal, 2, 14 (5), 1, 6 (1)
Hull City v Manchester City, 0, 10 (3), 3, 16 (6)
Liverpool v Manchester City, 1, 5 (1), 0, 9 (2)
Manchester City v Burnley, 2, 14 (3), 1, 11 (3)
Everton v Manchester City, 4, 6 (4), 0, 13 (5)
Manchester City v Tottenham Hotspur, 2, 17 (7), 2, 6 (2)
West Ham United v Manchester City, 0, 6 (1), 4, 11 (4)
Manchester City v Swansea City, 2, 17 (5), 1, 4 (2)
AFC Bournemouth v Manchester City, 0, 5 (1), 2, 17 (5)
Sunderland v Manchester City, 0, 11 (3), 2, 14 (7)
Manchester City v Stoke City, 0, 12 (1), 0, 5 (2)
Manchester City v Liverpool, 1, 13 (3), 1, 13 (4)
Arsenal v Manchester City, 2, 8 (3), 2, 14 (5)
Chelsea v Manchester City, 2, 10 (4), 1, 17 (7)
Manchester City v Hull City, 3, 23 (7), 1, 7 (1)
Southampton v Manchester City, 0, 8 (1), 3, 18 (5)
Manchester City v Manchester United, 0, 19 (6), 0, 3 (1)
Middlesbrough v Manchester City, 2, 14 (6), 2, 22 (4)
Manchester City v Crystal Palace, 5, 26 (12), 0, 5 (2)
Manchester City v Leicester City, 2, 17 (5), 1, 9 (4)
Manchester City v West Bromwich Albion, 3, 21 (10), 1, 5 (2)
Watford v Manchester City, 0, 6 (3), 5, 15 (9)
