AFC Bournemouth v Manchester United, 1, 9 (3), 3, 11 (7)
Manchester United v Southampton, 2, 12 (5), 0, 13 (1)
Hull City v Manchester United, 0, 8 (2), 1, 29 (9)
Manchester United v Manchester City, 1, 14 (3), 2, 18 (6)
Watford v Manchester United, 3, 10 (5), 1, 15 (2)
Manchester United v Leicester City, 4, 16 (7), 1, 10 (3)
Manchester United v Stoke City, 1, 24 (9), 1, 7 (6)
Liverpool v Manchester United, 0, 9 (3), 0, 7 (1)
Chelsea v Manchester United, 4, 14 (6), 0, 16 (5)
Manchester United v Burnley, 0, 38 (11), 0, 7 (1)
Swansea City v Manchester United, 1, 6 (1), 3, 9 (3)
Manchester United v Arsenal, 1, 12 (5), 1, 5 (1)
Manchester United v West Ham United, 1, 17 (8), 1, 6 (2)
Everton v Manchester United, 1, 13 (6), 1, 10 (2)
Manchester United v Tottenham Hotspur, 1, 14 (5), 0, 12 (4)
Crystal Palace v Manchester United, 1, 6 (3), 2, 16 (6)
West Bromwich Albion v Manchester United, 0, 10 (1), 2, 10 (5)
Manchester United v Sunderland, 3, 26 (9), 1, 9 (4)
Manchester United v Middlesbrough, 2, 32 (12), 1, 9 (2)
West Ham United v Manchester United, 0, 8 (2), 2, 13 (6)
Manchester United v Liverpool, 1, 9 (3), 1, 13 (4)
Stoke City v Manchester United, 1, 6 (1), 1, 25 (8)
Manchester United v Hull City, 0, 16 (6), 0, 6 (2)
Leicester City v Manchester United, 0, 11 (1), 3, 16 (9)
Manchester United v Watford, 2, 22 (11), 0, 9 (3)
Manchester United v AFC Bournemouth, 1, 20 (7), 1, 3 (1)
Middlesbrough v Manchester United, 1, 10 (3), 3, 14 (6)
Manchester United v West Bromwich Albion, 0, 18 (3), 0, 3 (1)
Manchester United v Everton, 1, 18 (3), 1, 11 (4)
Sunderland v Manchester United, 0, 9 (4), 3, 18 (9)
Manchester United v Chelsea, 2, 9 (3), 0, 5 (0)
Burnley v Manchester United, 0, 8 (0), 2, 12 (6)
Manchester City v Manchester United, 0, 19 (6), 0, 3 (1)
Manchester United v Swansea City, 1, 12 (6), 1, 12 (4)
Arsenal v Manchester United, 2, 9 (4), 0, 10 (4)
Tottenham Hotspur v Manchester United, 2, 14 (7), 1, 8 (2)
Southampton v Manchester United, 0, 17 (6), 0, 11 (1)
Manchester United v Crystal Palace, 2, 9 (2), 0, 6 (1)
