Middlesbrough v Stoke City, 1, 12 (2), 1, 12 (1)
Stoke City v Manchester City, 1, 8 (3), 4, 12 (6)
Everton v Stoke City, 1, 21 (9), 0, 8 (1)
Stoke City v Tottenham Hotspur, 0, 16 (2), 4, 20 (8)
Crystal Palace v Stoke City, 4, 14 (8), 1, 11 (4)
Stoke City v West Bromwich Albion, 1, 12 (2), 1, 9 (3)
Manchester United v Stoke City, 1, 24 (9), 1, 7 (6)
Stoke City v Sunderland, 2, 17 (6), 0, 11 (1)
Hull City v Stoke City, 0, 9 (2), 2, 12 (6)
Stoke City v Swansea City, 3, 17 (4), 1, 14 (6)
West Ham United v Stoke City, 1, 9 (2), 1, 12 (4)
Stoke City v AFC Bournemouth, 0, 14 (6), 1, 8 (2)
Watford v Stoke City, 0, 11 (2), 1, 14 (1)
Stoke City v Burnley, 2, 10 (4), 0, 14 (4)
Arsenal v Stoke City, 3, 21 (6), 1, 12 (5)
Stoke City v Southampton, 0, 5 (3), 0, 15 (4)
Stoke City v Leicester City, 2, 16 (7), 2, 14 (8)
Liverpool v Stoke City, 4, 20 (6), 1, 6 (2)
Chelsea v Stoke City, 4, 18 (7), 2, 5 (2)
Stoke City v Watford, 2, 16 (5), 0, 9 (2)
Sunderland v Stoke City, 1, 13 (3), 3, 14 (6)
Stoke City v Manchester United, 1, 6 (1), 1, 25 (8)
Stoke City v Everton, 1, 14 (7), 1, 14 (5)
West Bromwich Albion v Stoke City, 1, 15 (4), 0, 12 (2)
Stoke City v Crystal Palace, 1, 7 (4), 0, 6 (1)
Tottenham Hotspur v Stoke City, 4, 21 (9), 0, 5 (3)
Stoke City v Middlesbrough, 2, 13 (8), 0, 8 (2)
Manchester City v Stoke City, 0, 12 (1), 0, 5 (2)
Stoke City v Chelsea, 1, 5 (1), 2, 20 (7)
Leicester City v Stoke City, 2, 23 (10), 0, 10 (2)
Burnley v Stoke City, 1, 7 (3), 0, 15 (2)
Stoke City v Liverpool, 1, 9 (4), 2, 15 (4)
Stoke City v Hull City, 3, 14 (4), 1, 14 (3)
Swansea City v Stoke City, 2, 10 (6), 0, 9 (3)
Stoke City v West Ham United, 0, 19 (4), 0, 12 (4)
AFC Bournemouth v Stoke City, 2, 12 (2), 2, 14 (3)
Stoke City v Arsenal, 1, 10 (4), 4, 10 (6)
Southampton v Stoke City, 0, 15 (6), 1, 14 (3)
