Manchester City v Sunderland, 2, 16 (4), 1, 7 (3)
Sunderland v Middlesbrough, 1, 18 (5), 2, 8 (3)
Southampton v Sunderland, 1, 16 (7), 1, 5 (2)
Sunderland v Everton, 0, 11 (2), 3, 20 (9)
Tottenham Hotspur v Sunderland, 1, 31 (9), 0, 6 (2)
Sunderland v Crystal Palace, 2, 11 (4), 3, 21 (4)
Sunderland v West Bromwich Albion, 1, 7 (2), 1, 17 (7)
Stoke City v Sunderland, 2, 17 (6), 0, 11 (1)
West Ham United v Sunderland, 1, 20 (3), 0, 10 (2)
Sunderland v Arsenal, 1, 3 (1), 4, 21 (7)
AFC Bournemouth v Sunderland, 1, 22 (7), 2, 9 (4)
Sunderland v Hull City, 3, 11 (4), 0, 17 (7)
Liverpool v Sunderland, 2, 27 (7), 0, 6 (1)
Sunderland v Leicester City, 2, 22 (6), 1, 17 (5)
Swansea City v Sunderland, 3, 14 (5), 0, 11 (2)
Sunderland v Chelsea, 0, 8 (3), 1, 19 (6)
Sunderland v Watford, 1, 11 (2), 0, 10 (4)
Manchester United v Sunderland, 3, 26 (9), 1, 9 (4)
Burnley v Sunderland, 4, 16 (6), 1, 11 (3)
Sunderland v Liverpool, 2, 10 (5), 2, 21 (15)
Sunderland v Stoke City, 1, 13 (3), 3, 14 (6)
West Bromwich Albion v Sunderland, 2, 14 (5), 0, 9 (3)
Sunderland v Tottenham Hotspur, 0, 3 (1), 0, 14 (3)
Crystal Palace v Sunderland, 0, 21 (9), 4, 10 (7)
Sunderland v Southampton, 0, 6 (1), 4, 15 (8)
Everton v Sunderland, 2, 20 (8), 0, 10 (1)
Sunderland v Manchester City, 0, 11 (3), 2, 14 (7)
Sunderland v Burnley, 0, 14 (5), 0, 16 (3)
Watford v Sunderland, 1, 23 (10), 0, 11 (3)
Leicester City v Sunderland, 2, 19 (8), 0, 15 (3)
Sunderland v Manchester United, 0, 9 (4), 3, 18 (9)
Sunderland v West Ham United, 2, 14 (4), 2, 7 (3)
Middlesbrough v Sunderland, 1, 6 (2), 0, 10 (4)
Sunderland v AFC Bournemouth, 0, 17 (5), 1, 15 (7)
Hull City v Sunderland, 0, 16 (6), 2, 12 (5)
Sunderland v Swansea City, 0, 13 (4), 2, 3 (3)
Arsenal v Sunderland, 2, 36 (13), 0, 6 (2)
Chelsea v Sunderland, 5, 28 (8), 1, 7 (3)
