Burnley v Swansea City, 0, 10 (3), 1, 17 (9)
Swansea City v Hull City, 0, 23 (3), 2, 12 (4)
Leicester City v Swansea City, 2, 13 (6), 1, 9 (3)
Swansea City v Chelsea, 2, 6 (2), 2, 28 (7)
Southampton v Swansea City, 1, 19 (6), 0, 9 (3)
Swansea City v Manchester City, 1, 13 (5), 3, 18 (4)
Swansea City v Liverpool, 1, 8 (3), 2, 18 (6)
Arsenal v Swansea City, 3, 16 (6), 2, 13 (6)
Swansea City v Watford, 0, 11 (5), 0, 10 (2)
Stoke City v Swansea City, 3, 17 (4), 1, 14 (6)
Swansea City v Manchester United, 1, 6 (1), 3, 9 (3)
Everton v Swansea City, 1, 14 (6), 1, 6 (3)
Swansea City v Crystal Palace, 5, 18 (9), 4, 12 (4)
Tottenham Hotspur v Swansea City, 5, 28 (15), 0, 1 (0)
Swansea City v Sunderland, 3, 14 (5), 0, 11 (2)
West Bromwich Albion v Swansea City, 3, 13 (4), 1, 8 (4)
Middlesbrough v Swansea City, 3, 10 (4), 0, 14 (2)
Swansea City v West Ham United, 1, 14 (7), 4, 14 (7)
Swansea City v AFC Bournemouth, 0, 14 (5), 3, 11 (6)
Crystal Palace v Swansea City, 1, 7 (3), 2, 11 (4)
Swansea City v Arsenal, 0, 12 (3), 4, 14 (6)
Liverpool v Swansea City, 2, 16 (5), 3, 6 (3)
Swansea City v Southampton, 2, 12 (5), 1, 10 (2)
Manchester City v Swansea City, 2, 17 (5), 1, 4 (2)
Swansea City v Leicester City, 2, 10 (4), 0, 9 (1)
Chelsea v Swansea City, 3, 16 (5), 1, 3 (2)
Swansea City v Burnley, 3, 24 (9), 2, 6 (4)
Hull City v Swansea City, 2, 15 (7), 1, 11 (3)
AFC Bournemouth v Swansea City, 2, 12 (6), 0, 10 (1)
Swansea City v Middlesbrough, 0, 15 (3), 0, 8 (1)
Swansea City v Tottenham Hotspur, 1, 4 (1), 3, 18 (8)
West Ham United v Swansea City, 1, 14 (6), 0, 5 (1)
Watford v Swansea City, 1, 15 (7), 0, 13 (4)
Swansea City v Stoke City, 2, 10 (6), 0, 9 (3)
Manchester United v Swansea City, 1, 12 (6), 1, 12 (4)
Swansea City v Everton, 1, 9 (4), 0, 9 (2)
Sunderland v Swansea City, 0, 13 (4), 2, 3 (3)
Swansea City v West Bromwich Albion, 2, 12 (2), 1, 16 (5)
