Everton v Tottenham Hotspur, 1, 12 (6), 1, 13 (4)
Tottenham Hotspur v Crystal Palace, 1, 20 (5), 0, 10 (2)
Tottenham Hotspur v Liverpool, 1, 11 (4), 1, 13 (3)
Stoke City v Tottenham Hotspur, 0, 16 (2), 4, 20 (8)
Tottenham Hotspur v Sunderland, 1, 31 (9), 0, 6 (2)
Middlesbrough v Tottenham Hotspur, 1, 6 (2), 2, 19 (5)
Tottenham Hotspur v Manchester City, 2, 13 (7), 0, 12 (6)
West Bromwich Albion v Tottenham Hotspur, 1, 8 (4), 1, 20 (8)
AFC Bournemouth v Tottenham Hotspur, 0, 8 (1), 0, 16 (4)
Tottenham Hotspur v Leicester City, 1, 22 (5), 1, 6 (1)
Arsenal v Tottenham Hotspur, 1, 15 (2), 1, 10 (3)
Tottenham Hotspur v West Ham United, 3, 14 (6), 2, 11 (3)
Chelsea v Tottenham Hotspur, 2, 9 (5), 1, 12 (6)
Tottenham Hotspur v Swansea City, 5, 28 (15), 0, 1 (0)
Manchester United v Tottenham Hotspur, 1, 14 (5), 0, 12 (4)
Tottenham Hotspur v Hull City, 3, 27 (9), 0, 10 (5)
Tottenham Hotspur v Burnley, 2, 30 (9), 1, 5 (2)
Southampton v Tottenham Hotspur, 1, 9 (2), 4, 17 (5)
Watford v Tottenham Hotspur, 1, 6 (2), 4, 19 (6)
Tottenham Hotspur v Chelsea, 2, 9 (2), 0, 11 (2)
Tottenham Hotspur v West Bromwich Albion, 4, 21 (11), 0, 3 (0)
Manchester City v Tottenham Hotspur, 2, 17 (7), 2, 6 (2)
Sunderland v Tottenham Hotspur, 0, 3 (1), 0, 14 (3)
Tottenham Hotspur v Middlesbrough, 1, 17 (5), 0, 8 (0)
Liverpool v Tottenham Hotspur, 2, 17 (9), 0, 7 (2)
Tottenham Hotspur v Stoke City, 4, 21 (9), 0, 5 (3)
Tottenham Hotspur v Everton, 3, 20 (7), 2, 8 (4)
Tottenham Hotspur v Southampton, 2, 12 (6), 1, 8 (3)
Burnley v Tottenham Hotspur, 0, 13 (2), 2, 19 (7)
Swansea City v Tottenham Hotspur, 1, 4 (1), 3, 18 (8)
Tottenham Hotspur v Watford, 4, 19 (6), 0, 8 (2)
Tottenham Hotspur v AFC Bournemouth, 4, 24 (14), 0, 5 (1)
Crystal Palace v Tottenham Hotspur, 0, 6 (1), 1, 18 (4)
Tottenham Hotspur v Arsenal, 2, 20 (11), 0, 12 (4)
West Ham United v Tottenham Hotspur, 1, 13 (5), 0, 11 (5)
Tottenham Hotspur v Manchester United, 2, 14 (7), 1, 8 (2)
Leicester City v Tottenham Hotspur, 1, 12 (5), 6, 26 (12)
Hull City v Tottenham Hotspur, 1, 10 (4), 7, 19 (14)
