Southampton v Watford, 1, 24 (6), 1, 5 (1)
Watford v Chelsea, 1, 6 (2), 2, 13 (4)
Watford v Arsenal, 1, 14 (6), 3, 10 (7)
West Ham United v Watford, 2, 19 (4), 4, 13 (8)
Watford v Manchester United, 3, 10 (5), 1, 15 (2)
Burnley v Watford, 2, 13 (4), 0, 12 (2)
Watford v AFC Bournemouth, 2, 17 (7), 2, 11 (2)
Middlesbrough v Watford, 0, 10 (3), 1, 4 (2)
Swansea City v Watford, 0, 11 (5), 0, 10 (2)
Watford v Hull City, 1, 23 (0), 0, 8 (2)
Liverpool v Watford, 6, 28 (17), 1, 11 (8)
Watford v Leicester City, 2, 10 (3), 1, 11 (2)
Watford v Stoke City, 0, 11 (2), 1, 14 (1)
West Bromwich Albion v Watford, 3, 11 (3), 1, 17 (5)
Watford v Everton, 3, 11 (6), 2, 11 (4)
Manchester City v Watford, 2, 13 (7), 0, 5 (2)
Sunderland v Watford, 1, 11 (2), 0, 10 (4)
Watford v Crystal Palace, 1, 9 (3), 1, 10 (4)
Watford v Tottenham Hotspur, 1, 6 (2), 4, 19 (6)
Stoke City v Watford, 2, 16 (5), 0, 9 (2)
Watford v Middlesbrough, 0, 12 (5), 0, 5 (1)
AFC Bournemouth v Watford, 2, 15 (5), 2, 10 (3)
Arsenal v Watford, 1, 20 (5), 2, 10 (6)
Watford v Burnley, 2, 16 (7), 1, 11 (7)
Manchester United v Watford, 2, 22 (11), 0, 9 (3)
Watford v West Ham United, 1, 9 (1), 1, 13 (2)
Watford v Southampton, 3, 16 (4), 4, 20 (11)
Crystal Palace v Watford, 1, 7 (0), 0, 6 (2)
Watford v Sunderland, 1, 23 (10), 0, 11 (3)
Watford v West Bromwich Albion, 2, 9 (2), 0, 18 (2)
Tottenham Hotspur v Watford, 4, 19 (6), 0, 8 (2)
Watford v Swansea City, 1, 15 (7), 0, 13 (4)
Hull City v Watford, 2, 8 (3), 0, 14 (2)
Watford v Liverpool, 0, 9 (2), 1, 12 (8)
Leicester City v Watford, 3, 11 (5), 0, 14 (7)
Everton v Watford, 1, 15 (6), 0, 14 (2)
Chelsea v Watford, 4, 24 (9), 3, 9 (3)
Watford v Manchester City, 0, 6 (3), 5, 15 (9)
