Crystal Palace v West Bromwich Albion, 0, 14 (4), 1, 13 (3)
West Bromwich Albion v Everton, 1, 11 (4), 2, 13 (7)
West Bromwich Albion v Middlesbrough, 0, 13 (2), 0, 7 (2)
AFC Bournemouth v West Bromwich Albion, 1, 12 (5), 0, 12 (2)
West Bromwich Albion v West Ham United, 4, 8 (6), 2, 23 (5)
Stoke City v West Bromwich Albion, 1, 12 (2), 1, 9 (3)
Sunderland v West Bromwich Albion, 1, 7 (2), 1, 17 (7)
West Bromwich Albion v Tottenham Hotspur, 1, 8 (4), 1, 20 (8)
Liverpool v West Bromwich Albion, 2, 21 (7), 1, 7 (1)
West Bromwich Albion v Manchester City, 0, 9 (1), 4, 21 (8)
Leicester City v West Bromwich Albion, 1, 5 (2), 2, 11 (5)
West Bromwich Albion v Burnley, 4, 16 (6), 0, 5 (2)
Hull City v West Bromwich Albion, 1, 10 (4), 1, 11 (2)
West Bromwich Albion v Watford, 3, 11 (3), 1, 17 (5)
Chelsea v West Bromwich Albion, 1, 12 (2), 0, 6 (1)
West Bromwich Albion v Swansea City, 3, 13 (4), 1, 8 (4)
West Bromwich Albion v Manchester United, 0, 10 (1), 2, 10 (5)
Arsenal v West Bromwich Albion, 1, 26 (11), 0, 3 (1)
Southampton v West Bromwich Albion, 1, 10 (1), 2, 7 (3)
West Bromwich Albion v Hull City, 3, 8 (5), 1, 17 (6)
Tottenham Hotspur v West Bromwich Albion, 4, 21 (11), 0, 3 (0)
West Bromwich Albion v Sunderland, 2, 14 (5), 0, 9 (3)
Middlesbrough v West Bromwich Albion, 1, 11 (3), 1, 15 (5)
West Bromwich Albion v Stoke City, 1, 15 (4), 0, 12 (2)
West Ham United v West Bromwich Albion, 2, 16 (4), 2, 8 (3)
West Bromwich Albion v AFC Bournemouth, 2, 13 (4), 1, 12 (4)
West Bromwich Albion v Crystal Palace, 0, 11 (1), 2, 10 (4)
Everton v West Bromwich Albion, 3, 16 (5), 0, 5 (2)
West Bromwich Albion v Arsenal, 3, 12 (8), 1, 11 (2)
Manchester United v West Bromwich Albion, 0, 18 (3), 0, 3 (1)
Watford v West Bromwich Albion, 2, 9 (2), 0, 18 (2)
West Bromwich Albion v Southampton, 0, 17 (6), 1, 10 (3)
West Bromwich Albion v Liverpool, 0, 7 (2), 1, 15 (2)
West Bromwich Albion v Leicester City, 0, 16 (4), 1, 6 (1)
Burnley v West Bromwich Albion, 2, 14 (4), 2, 11 (3)
West Bromwich Albion v Chelsea, 0, 7 (2), 1, 24 (5)
Manchester City v West Bromwich Albion, 3, 21 (10), 1, 5 (2)
Swansea City v West Bromwich Albion, 2, 12 (2), 1, 16 (5)
